rank,title_id,title,players,percentage
522,231650,Unravel TWO,92,0.0282
523,221667,Batman,91,0.0279
524,10005732,Cities: Skylines - Remastered,91,0.0279
525,231308,INAZUMA ELEVEN: Victory Road,91,0.0279
526,204941,Tom Clancy's The Division™,91,0.0279
527,10008074,Disney Epic Mickey: Rebrushed,90,0.0275
528,227121,Friday the 13th: The Game,90,0.0275
529,10004842,Infinity Nikki,90,0.0275
530,10005862,Jujutsu Kaisen Cursed Clash,90,0.0275
531,217642,Neverwinter,89,0.0272
532,10007919,Nine Sols,89,0.0272
533,216855,AdVenture Capitalist,88,0.0269
534,224875,LEGO® CITY UNDERCOVER,88,0.0269
535,234630,ASTRONEER,87,0.0266
536,200477,Bully,87,0.0266
537,200959,Destiny,87,0.0266
538,214653,Ratchet & Clank™,87,0.0266
539,233476,Slay the Spire,87,0.0266
540,200756,Call of Duty®: Advanced Warfare,85,0.026
541,10016558,FreeStyle Football 2,85,0.026
542,221722,METAL GEAR SOLID V: THE DEFINITIVE EXPERIENCE,85,0.026
543,234529,Persona 5 Royal,85,0.026
544,233594,Sid Meier's Civilization VI,85,0.026
545,233372,SpongeBob SquarePants: Battle For Bikini Bottom - Rehydrated,85,0.026
546,10010870,CAPTAIN TSUBASA 2: WORLD FIGHTERS,84,0.0257
547,201336,EA SPORTS™ UFC® 2,84,0.0257
548,216187,Enter the Gungeon,84,0.0257
549,201406,FIFA 16,84,0.0257
550,234277,Five Nights at Freddy's VR: Help Wanted,84,0.0257
551,10002038,Green Hell,84,0.0257
552,224919,Outlast 2,84,0.0257
553,10009937,The First Berserker: Khazan,84,0.0257
554,10003284,Aimlabs,83,0.0254
555,200914,Diablo III: Eternal Collection,83,0.0254
556,231948,Fallout Shelter,83,0.0254
557,10015370,Invincible VS,83,0.0254
558,202209,Just Cause 3,83,0.0254
559,234460,NBA 2K20,83,0.0254
560,204275,Sleeping Dogs,83,0.0254
561,216489,South Park™: The Fractured But Whole™,83,0.0254
562,10012563,The Mound: Omen of Cthulhu,83,0.0254
563,229133,Just Cause 4,82,0.0251
564,10004240,Session: Skate Sim,82,0.0251
565,10004434,Starlit Kart Racing,82,0.0251
566,204590,Four Kings Casino and Slots,81,0.0248
