title_id,title_name,release_date
10012483,Abiotic Factor,2025-07-22
231724,AboKhashem,2018-02-23
10001646,Aborigenus,2021-02-19
10009061,ABRISS - build to destroy,2024-03-07
10014070,Absolum,2025-10-09
221660,Absolute Drift,2016-08-22
10003817,Absolute Tactics: Daughters of Mercy,2022-11-17
222909,ABSOLVER,2017-08-28
10014907,ABSURDIKA: Rebuild,2025-04-30
10005427,Abyss,2022-12-25
200010,Abyss Odyssey: Extended Dream Edition,2015-07-27
10014043,ABYSS SEEKERーーWhat Do You See Deep in The Abyss,2025-03-06
10013158,ABYSS: BACKROOMS POOLS HORROR,2025-01-21
10015733,ABYSS: BACKROOMS POOLS HORROR VR,2025-11-04
231036,Abyss: The Wraiths of Eden,2017-10-19
10016582,Abyssus,2026-06-25
221659,ABZU,2016-08-01
224809,ACA NEOGEO 2020 SUPER BASEBALL,2017-06-28
232659,ACA NEOGEO 3 COUNT BOUT,2019-07-11
227065,ACA NEOGEO AERO FIGHTERS 2,2017-08-02
231043,ACA NEOGEO AERO FIGHTERS 3,2019-01-28
232631,ACA NEOGEO AGGRESSORS OF DARK KOMBAT,2019-04-29
200178,ACA NEOGEO ALPHA MISSION II,2017-01-10
200280,ACA NEOGEO ART OF FIGHTING,2017-04-19
227588,ACA NEOGEO ART OF FIGHTING 2,2017-08-10
231466,ACA NEOGEO ART OF FIGHTING 3,2020-03-12
232632,ACA NEOGEO BASEBALL STARS 2,2019-03-21
200361,ACA NEOGEO BASEBALL STARS PROFESSIONAL,2019-03-13
227072,ACA NEOGEO BIG TOURNAMENT GOLF,2017-02-23
231216,ACA NEOGEO BLAZING STAR,2019-01-22
228662,ACA NEOGEO BLUE'S JOURNEY,2017-09-06
228894,ACA NEOGEO BURNING FIGHT,2017-10-10
232633,ACA NEOGEO CROSSED SWORDS,2019-05-28
232634,ACA NEOGEO CYBER-LIP,2019-07-02
201480,ACA NEOGEO FATAL FURY,2017-01-12
227066,ACA NEOGEO FATAL FURY 2,2017-06-26
227067,ACA NEOGEO FATAL FURY 3,2017-08-30
227068,ACA NEOGEO FATAL FURY SPECIAL,2017-07-12
232635,ACA NEOGEO FOOTBALL FRENZY,2019-05-06
201742,ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,2017-04-26
231879,ACA NEOGEO GHOST PILOTS,2018-06-07
231880,ACA NEOGEO Gururin,2018-06-07
229729,ACA NEOGEO KARNOV'S REVENGE,2017-12-07
224806,ACA NEOGEO KING OF THE MONSTERS,2017-07-19
232797,ACA NEOGEO KING OF THE MONSTERS 2,2019-07-29
225056,ACA NEOGEO LAST RESORT,2017-05-01
227069,ACA NEOGEO MAGICAL DROP II,2017-06-19
208699,ACA NEOGEO MAGICAL DROP III,2018-06-05
202641,ACA NEOGEO MAGICIAN LORD,2017-08-30
10018307,ACA NEOGEO MASTER OF SYOUGI,2026-04-02
209645,ACA NEOGEO METAL SLUG,2016-11-28
202883,ACA NEOGEO METAL SLUG 2,2017-05-31
10003921,ACA NEOGEO METAL SLUG 3,2017-12-21
232636,ACA NEOGEO METAL SLUG 4,2018-12-19
232821,ACA NEOGEO METAL SLUG 5,2020-03-12
202879,ACA NEOGEO METAL SLUG X,2017-10-10
202888,ACA NEOGEO Money Puzzle Exchanger,2019-03-11
227400,ACA NEOGEO MUTATION NATION,2017-10-26
224807,ACA NEOGEO NAM-1975,2017-03-02
231937,ACA NEOGEO NINJA COMBAT,2018-06-07
232756,ACA NEOGEO NINJA COMMANDO,2019-05-27
227073,ACA NEOGEO OVER TOP,2017-05-15
232637,ACA NEOGEO PLEASURE GOAL： 5 ON 5 MINI SOCCER,2019-07-22
10018252,ACA NEOGEO POP'N BOUNCE,2026-03-12
231045,ACA NEOGEO POWER SPIKES II,2018-04-18
231959,ACA NEOGEO PREHISTORIC ISLE 2,2019-03-25
227074,ACA NEOGEO PULSTAR,2017-07-09
232946,ACA NEOGEO PUZZLE BOBBLE,2019-01-03
232947,ACA NEOGEO PUZZLE BOBBLE 2,2019-02-07
228008,ACA NEOGEO PUZZLED,2017-08-30
203836,ACA NEOGEO REAL BOUT FATAL FURY,2017-10-12
231046,ACA NEOGEO REAL BOUT FATAL FURY 2,2019-01-30
231484,ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,2018-01-08
231938,ACA NEOGEO RIDING HERO,2019-02-05
229731,ACA NEOGEO ROBO ARMY,2017-10-18
204478,ACA NEOGEO SAMURAI SHODOWN,2016-12-09
228665,ACA NEOGEO SAMURAI SHODOWN II,2017-10-10
204482,ACA NEOGEO SAMURAI SHODOWN III,2018-04-18
211289,ACA NEOGEO SAMURAI SHODOWN IV,2018-06-07
10003918,ACA NEOGEO SAMURAI SHODOWN V,2022-04-28
10003919,ACA NEOGEO SAMURAI SHODOWN V SPECIAL,2019-04-18
232596,ACA NEOGEO SAVAGE REIGN,2019-07-15
224808,ACA NEOGEO SENGOKU,2017-03-15
227076,ACA NEOGEO SENGOKU 2,2017-06-14
231220,ACA NEOGEO SENGOKU 3,2018-06-12
204113,ACA NEOGEO SHOCK TROOPERS,2018-01-25
231221,ACA NEOGEO SHOCK TROOPERS 2nd Squad,2018-06-05
229732,ACA NEOGEO SOCCER BRAWL,2017-12-07
227077,ACA NEOGEO SPIN MASTER,2017-09-14
231881,ACA NEOGEO STAKES WINNER,2018-06-07
232802,ACA NEOGEO STAKES WINNER 2,2019-05-20
227078,ACA NEOGEO STREET HOOP,2017-11-09
232812,ACA NEOGEO STRIKERS 1945 PLUS,2019-06-30
204058,ACA NEOGEO SUPER SIDEKICKS,2017-07-27
231797,ACA NEOGEO SUPER SIDEKICKS 2,2018-06-07
204754,ACA NEOGEO THE KING OF FIGHTERS '94,2016-10-26
204748,ACA NEOGEO THE KING OF FIGHTERS '95,2017-05-10
204745,ACA NEOGEO THE KING OF FIGHTERS '96,2017-08-09
204744,ACA NEOGEO THE KING OF FIGHTERS '97,2017-11-01
204732,ACA NEOGEO THE KING OF FIGHTERS '98,2018-02-26
204731,ACA NEOGEO THE KING OF FIGHTERS '99,2019-01-18
10003915,ACA NEOGEO THE KING OF FIGHTERS 2000,2021-09-15
10003914,ACA NEOGEO THE KING OF FIGHTERS 2001,2022-10-12
10003916,ACA NEOGEO THE KING OF FIGHTERS 2002,2022-07-05
211819,ACA NEOGEO THE LAST BLADE,2017-06-15
10003920,ACA NEOGEO THE LAST BLADE 2,2018-02-15
231224,ACA NEOGEO THE ULTIMATE 11: SNK FOOTBALL CHAMPIONSHIP,2019-05-28
232663,ACA NEOGEO THRASH RALLY,2019-07-24
229733,ACA NEOGEO TOP HUNTER RODDY & CATHY,2018-01-08
231941,ACA NEOGEO TOP PLAYER’S GOLF,2019-03-05
231225,ACA NEOGEO WAKU WAKU 7,2019-02-28
205498,ACA NEOGEO WORLD HEROES,2017-01-26
227059,ACA NEOGEO WORLD HEROES 2,2017-05-24
229734,ACA NEOGEO WORLD HEROES 2 JET,2018-01-30
231226,ACA NEOGEO WORLD HEROES PERFECT,2019-02-04
228667,ACA NEOGEO ZED BLADE,2017-08-29
232639,ACA NEOGEO ZUPAPA！,2019-07-01
10002337,ACA2NEOGEO THE KING OF FIGHTERS ’98,2025-02-27
10007534,Academy of drift,2023-09-26
10002635,Acalesia,2021-04-01
227064,Accel World vs. Sword Art Online,2017-07-06
10008052,Acceptance,2023-08-11
233040,Access Denied,2019-02-05
10011774,Access Denied: Escape,2024-11-15
10004775,Accident,2022-12-09
10012814,Accolade Sports Collection (QUByte Classics),2025-01-30
229735,Accounting+,2017-12-19
10009319,Ace Attorney Investigations Collection,2024-09-06
10011942,ACE COMBAT 8: WINGS OF THEVE,2026-10-01
221661,ACE COMBAT™ 7: SKIES UNKNOWN,2019-01-10
10017748,Ace Heli Pilot,2026-04-27
228673,Ace of Seafood,2017-11-09
221818,AceBanana,2016-10-12
200106,Aces of the Luftwaffe,2015-05-18
228674,Aces of the Luftwaffe Squadron,2018-07-23
234869,Aces of the Multiverse,2020-04-23
10007306,Aces of Thunder,2026-02-03
10004880,Achilles: Legends Untold,2023-11-02
10015335,Achilles: Survivor,2025-07-29
232402,Achtung! Cthulhu Tactics,2018-11-20
10003600,ACL Pro Cornhole,2023-03-31
10019958,Acorn Avengers,2026-06-26
10012633,Acre Crisis,2025-10-24
10012159,ACRES,2025-08-20
10010214,Across the Obelisk,2024-11-06
10007333,Across the Valley,2023-04-06
10009947,Acrylic Nails!,2024-06-14
232800,ACT IT OUT XL! A Game of Charades,2019-11-14
205924,ACT IT OUT! A Game of Charades,2016-01-05
228960,Action Arcade Wrestling,2021-08-10
200119,Action Henk,2016-03-08
10009347,Action SuperCross,2024-03-04
10013868,ActionCam: Supernatural Case,2025-02-27
10006208,Active DBG: Brave's Rage,2023-02-02
235309,Active Neurons,2022-01-28
10000749,Active Neurons 2,2020-09-16
10002241,Active Neurons 3 - Wonders Of The World,2021-02-24
222912,Active Soccer 2 DX,2017-07-24
10001622,Actraiser Renaissance,2021-09-23
10018653,Acyntha-roids,2026-02-28
10016097,Ad Fundum,
10004716,Ad Infinitum,2023-09-30
216017,Adam's Venture: Origins,2016-03-31
10009545,Adam Wolfe,2024-04-10
232064,ADIOS Amigos: Galactic Explorers,2022-05-03
206011,ADK DAMASHII™,2015-10-09
10017971,Adorable Adventures,2026-04-30
10007951,Adore,2023-08-03
206022,ADR1FT,2016-07-14
10015663,Adrenaline Rampage,2025-10-18
10017783,Adrenaline Rush,2026-02-10
10005377,Adrian's Tale,2022-10-02
10009795,Adventure & Horror Pinball,2024-10-04
10003720,Adventure Academia: The Fractured Continent,2022-12-09
10009818,Adventure Bar Story,2024-04-24
216855,AdVenture Capitalist,2016-08-15
10011094,Adventure of Samsara,2025-09-04
10008120,Adventure Pinball Bundle,2025-09-26
10008950,Adventure Tanks,2023-11-17
217978,Adventure Time: Finn and Jake Investigations,2015-10-19
231468,Adventure Time: Pirates of the Enchiridion,2018-07-19
223263,AdventurePop,2017-01-31
10004923,Adventures of Chris,2022-07-08
205966,Adventures of Pip,2015-08-17
10018184,Adventurous Slime,2026-03-13
229876,Aegis Defenders,2018-02-08
216010,Aegis of Earth: Protonovus Assault,2016-03-14
10015196,Aeon Attack,2025-06-13
10003427,Aeon Drive,2021-09-30
234835,Aeon Must Die!,2021-10-14
10011364,AeonX,2024-07-03
221834,AER: Memories of Old,2017-10-24
227593,AereA,2017-06-29
10016329,Aerial_Knight's DropShot,2026-02-17
10002196,Aerial_Knight's Never Yield,2021-05-19
10010946,Aerial_Knight's We Never Yield,2024-09-12
10014003,Aero Cosmos,2025-03-07
10006127,Aero Striker - World Invasion,2022-10-14
10011323,Aero The Acro-Bat,2024-08-02
10011324,Aero The Acro-Bat 2,2024-09-06
10011449,Aero The Acro-Bat: Rascal Rival Revenge,2024-12-31
10002367,Aery - A Journey Beyond Time,2021-02-25
10004782,Aery - A New Frontier,2022-05-13
10010282,Aery - Ancient Empires,2024-08-23
10002281,Aery - Broken Memories,2021-03-26
10003105,Aery - Calm Mind,2021-07-22
10004638,Aery - Calm Mind 2,2022-03-25
10006416,Aery - Calm Mind 3,2023-03-10
10008942,Aery - Calm Mind 4,2023-12-20
10010280,Aery - Cyber City,2024-04-19
10004120,Aery - Dreamscape,2022-01-14
10008901,Aery - Flow of Time,2023-08-18
10005270,Aery - Last Day of Earth,2022-10-21
10001986,Aery - Little Bird Adventure,2021-03-04
10010283,Aery - Midnight Hour,2024-10-18
10006128,Aery - Path of Corruption,2022-12-16
10002379,Aery - Sky Castle,2021-03-19
10010267,Aery - Stone Age,2024-02-23
10007444,Aery - The Lost Hero,2023-06-02
10005252,Aery - Vikings,2022-07-22
10008421,Aery – Heaven & Hell,2023-08-18
10002786,Aeterna Noctis,2021-12-15
200175,AeternoBlade,2015-08-03
234583,AeternoBlade II Infinity,2019-10-10
10019945,Aether Keepers,2026-08-14
10005440,AEW: Fight Forever,2023-06-29
231205,AFFECTED: The Manor,2018-11-27
10005823,AFL 23,2023-05-04
10013799,AFL 26,2025-05-08
216814,AFL Evolution,2017-05-04
233209,AFL Evolution 2,2020-04-16
200049,Afro Samurai 2: Revenge of Kuma Volume 1,2015-09-21
234839,After the Fall®,2021-12-09
10006271,After the Fall® - Complete Edition,2023-02-22
10003563,After Us,2025-02-17
10005487,After Wave: Downfall,2022-08-05
10007677,After You,2023-05-11
10009147,Afterdream,2023-09-28
10007477,Afterimage,2023-04-25
234456,Afterlife,2019-08-20
10007663,AFTERLIFE VR,2023-04-19
10004328,Afterlove EP,2025-02-14
232556,Afterparty,2019-10-28
10011016,Against the Storm,2025-06-26
10011216,Agarta,2024-06-20
10013650,Agatha Christie - Death on the Nile,2025-09-25
10001109,Agatha Christie - Hercule Poirot: The First Cases,2021-09-28
10007246,Agatha Christie - Hercule Poirot: The London Case,2023-08-29
10004776,Agatha Christie - Murder on the Orient Express,2023-10-19
200115,Agatha Christie - The ABC Murders,2016-02-23
234043,Agatha Knife,2019-09-11
10014291,Age of Dead: Zombie Simulator,2025-06-27
10009261,Age of Empires II: Definitive Edition,2025-05-06
10012160,Age of Empires IV: Anniversary Edition,2025-11-04
10009260,Age of Mythology: Retold,2025-03-04
10005060,Age of Sokoban,2023-09-28
10008402,Age of Water,2024-04-25
10004957,Age of Wonders 4,2023-05-02
232658,Age of Wonders: Planetfall,2019-08-05
232179,Agent A,2019-08-28
10020078,Agent dark,2026-07-08
10012837,Agent Fall,2025-01-29
10002183,Agent Intercept,2022-03-30
10011464,Agent Walker: Secret Journey,2024-07-26
211321,Agents of Mayhem,2017-08-14
233453,Ages of Mages: the last keeper,2019-02-05
232801,Aggelos,2019-07-11
10010732,Aggelos 2,2026-08-27
229728,Agony,2018-05-28
10007982,Agriculture,2023-07-19
10001476,Aground,2021-02-11
10009852,"Ah, Love!",2025-03-09
10010096,Ahhnalog 112,2025-12-18
10006488,AI LIMIT,2025-03-27
10015918,Ai Tycoon,2025-08-01
233250,AI: THE SOMNIUM FILES,2019-09-16
10001909,AI: THE SOMNIUM FILES - nirvanA Initiative,2022-06-24
10012030,Aidan In Danger,2025-05-23
10008954,Aikyam,
10003284,Aimlabs,2025-11-04
200033,AIPD,2016-02-02
10009605,Air Aces,2023-11-10
10002707,Air Bounce - The Jump 'n' Run Challenge,2021-04-16
225477,Air Conflicts Double Pack,2016-09-22
200266,Air Conflicts: Pacific Carriers,2015-11-03
200264,Air Conflicts: Secret Wars,2017-04-03
200265,Air Conflicts: Vietnam - Ultimate Edition,2014-09-15
10009341,Air Fight - Sky Fighters,2023-09-15
227289,Air Force Special Ops: Nightfall,2017-06-19
10001342,Air Hockey,2020-08-20
10018795,Air Hunter,2026-06-12
231115,Air Missions: Hind,2018-09-25
10011159,Air Sea Modern Conflict,2024-06-28
10008088,Air Twister,2023-11-10
10013931,Airborne Justice,2025-09-26
10002924,Airborne Kingdom,2021-11-09
10007147,Aircraft Carrier Survival,2023-12-08
235310,Aircraft Evolution,2020-07-22
10015345,Aircraft Legends: Flight Academy Simulator,2025-06-06
10004203,Airhead,2024-02-12
232608,Airheart,2018-07-23
10011873,AirJet Fighter Sky Dominators: Aerial Assault,2025-05-02
10015551,Airline Empire: Stewardess Simulator,2025-09-08
200326,AirMech Arena,2015-05-04
10004526,Airoheart,2022-09-30
10015277,Airplane Flight Simulator : Combat Zone,2025-07-24
10012694,Airplane Flight Simulator : EVO,2025-05-10
10008779,Airplane Racing Championship,2025-04-25
10014520,Airport Manager Simulator 2025,2025-05-09
10009856,Airport Police Contraband Simulator - Border Patrol,2024-12-03
232528,Airport Simulator 2019,2019-04-08
10003524,Airport Simulator: Day & Night,2021-11-18
10008182,AK-xolotl,2023-09-14
10004751,Akai Katana Shin,2023-06-29
10005356,Akane,2022-09-20
228918,Akash: Path of the Five,2019-06-24
10019019,Akatori,2026-08-13
10013873,Akatsuki: Lord of the Dawn,2025-03-26
222828,AKIBA'S BEAT,2017-05-15
234561,AKIBA'S TRIP: Hellbound & Debriefed,2021-07-20
200075,AKIBA'S TRIP: UNDEAD ＆ UNDRESSED,2014-11-25
10017679,AKIBA LOST,2026-09-16
10010408,Akimbot,2024-08-29
10014626,Akinakes,2025-06-16
10003203,Akinofa,2021-07-16
10006101,Akka Arrh,2023-02-21
10018349,Akuma Rise,2026-05-08
10002065,Alan Wake 2,2023-10-27
10001478,Alan Wake Remastered,2021-10-05
10008444,Alaskan Road Truckers: Highway Edition,2024-07-11
10002528,Alba: A Wildlife Adventure,2021-06-09
10005912,Albacete Warrior,2023-02-01
10010793,Albatroz,2024-11-01
206043,Albedo,2025-04-01
228671,Albert and Otto,2018-01-16
10005510,Alchemic Cutie,2022-06-30
227095,Alchemic Jousts,2016-11-22
231211,Alchemist's Castle,2018-03-26
10000804,Alchemist Adventure,2021-05-20
10004539,Alchemist Simulator,2022-08-24
10015499,Alchemist: Journey of The Soul,2026-06-19
10008417,Alchemist: The Potion Monger,2024-05-15
10008222,Alchemy Garden,2023-09-07
10019012,Alchewizard,2026-03-23
10002699,Alder's Blood: Definitive Edition,2022-04-28
10013712,Ale Tavern Simulator,2025-01-31
10013808,Aleesha's Tower,2026-06-10
206057,Alekhine's Gun,2016-03-01
